tg_ecotypeid,ecotypeid,ecotypeids_merged,name,othername,country,sitename,latitude,longitude,collector,collectiondate,250k,1001g,fullseq_data,producer,comment,completed,release_status,seq_by,picture,public_URL,UC_HPC_loc,location_qc,GMI_methylome,GMI_transcriptome,CS_1001,CS_regmap,regmap_1001_check,CS_number
1606,1606,,Brn-1,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1607,1607,,Brn-2,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1608,1608,,Brn-3,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1609,1609,,Brn-4,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1610,1610,,Brn-6,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1611,1611,,Brn-9,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1612,1612,,Brn-10,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78962
1613,1613,,Brn-11,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1614,1614,,Brn-12,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1615,1615,,Brn-16,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1616,1616,,Brn-17,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1617,1617,,Brn-19,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1618,1618,,Brn-20,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1619,1619,,Brn-21,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1620,1620,,Brn-22,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1621,1621,,Brn-23,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1622,1622,,Brn-24,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78963
1623,1623,,Brn-27,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1624,1624,,Brn-28,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1625,1625,,Brn-29,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1626,1626,,Brn-32,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1627,1627,,Brn-35,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1628,1628,,Brn-36,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1629,1629,,Brn-37,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1630,1630,,Brn-38,,USA,Brn,41.9,-86.583,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1631,1631,,DuckLkSP1,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1632,1632,,DuckLkSP2,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1633,1633,,DuckLkSP3,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
